Rk,Team,Date,,Opp,Result,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB
466,CIN,2022-04-24,,STL,W 4-1,32,27,4,8,6,2,0,0,4,0,1,4,5,.296,.375,.370,.745,10,2,0,0,1,0
467,SFG,2022-04-24,@,WSN,W 12-3,48,40,12,15,10,2,1,2,12,0,0,4,7,.375,.438,.625,1.063,25,0,2,0,2,0
468,COL,2022-04-24,@,DET,W 6-2,39,37,6,11,7,3,0,1,6,1,1,2,5,.297,.333,.459,.793,17,0,0,0,0,0
469,ATL,2022-04-24,,MIA,L 4-5,42,33,4,7,2,4,0,1,4,0,0,8,14,.212,.357,.424,.781,14,1,0,0,1,0
470,SDP,2022-04-24,,LAD,L 2-10,35,33,2,8,6,1,1,0,2,0,0,1,6,.242,.286,.333,.619,11,2,1,0,0,0
471,PHI,2022-04-24,,MIL,L 0-1,34,32,0,5,3,2,0,0,0,0,0,2,16,.156,.206,.219,.425,7,0,0,0,0,0
472,ARI,2022-04-24,,NYM,L 2-6,34,33,2,6,3,2,0,1,2,0,0,1,9,.182,.206,.333,.539,11,0,0,0,0,0
473,MIL,2022-04-24,@,PHI,W 1-0,30,28,1,3,2,1,0,0,1,0,0,1,10,.107,.133,.143,.276,4,0,0,0,1,0
474,CHC,2022-04-24,,PIT,L 3-4,41,37,3,10,5,4,0,1,2,0,0,4,11,.270,.341,.459,.801,17,2,0,0,0,2
475,PHI,2022-04-25,,COL,W 8-2,38,34,8,9,6,2,0,1,6,0,0,3,8,.265,.316,.412,.728,14,1,0,0,1,0
476,ARI,2022-04-25,,LAD,L 0-4,31,30,0,3,3,0,0,0,0,0,0,0,10,.100,.129,.100,.229,3,0,1,0,0,0
477,SFG,2022-04-25,@,MIL,W 4-2,36,31,4,6,2,2,0,2,4,0,1,4,14,.194,.306,.452,.757,14,1,1,0,0,1
478,STL,2022-04-25,,NYM,L 2-5,36,33,2,5,5,0,0,0,2,0,0,3,13,.152,.222,.152,.374,5,0,0,0,0,0
479,COL,2022-04-25,@,PHI,L 2-8,32,29,2,5,2,1,0,2,2,0,0,2,5,.172,.250,.414,.664,12,3,1,0,0,0
480,HOU,2022-04-25,@,TEX,L 2-6,38,35,2,8,6,1,0,1,2,2,0,3,9,.229,.289,.343,.632,12,0,0,0,0,0
481,BOS,2022-04-25,@,TOR,L 2-6,34,31,2,7,5,2,0,0,2,0,0,1,5,.226,.242,.290,.533,9,1,0,1,1,0
482,LAD,2022-04-25,@,ARI,W 4-0,38,35,4,9,4,4,0,1,4,1,0,3,7,.257,.316,.457,.773,16,0,0,0,0,0
483,CLE,2022-04-25,@,LAA,L 0-3,32,28,0,3,2,1,0,0,0,0,0,4,4,.107,.219,.143,.362,4,2,0,0,0,0
484,TOR,2022-04-25,,BOS,W 6-2,32,32,6,10,6,1,0,3,6,0,0,0,6,.313,.313,.625,.938,20,2,0,0,0,0
485,LAA,2022-04-25,,CLE,W 3-0,33,30,3,8,5,0,1,2,3,0,0,2,7,.267,.313,.533,.846,16,1,0,1,0,0
486,TEX,2022-04-25,,HOU,W 6-2,39,35,6,11,8,3,0,0,6,0,0,3,6,.314,.385,.400,.785,14,1,1,0,0,0
487,MIL,2022-04-25,,SFG,L 2-4,33,32,2,5,4,0,0,1,2,0,0,1,9,.156,.182,.250,.432,8,0,0,0,0,0
