Rk,Team,Date,,Opp,Result,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB
52,CIN,2023-04-01,,PIT,W 6-2,33,30,6,6,2,1,0,3,6,1,0,3,8,.200,.273,.533,.806,16,0,0,0,0,0
53,CHW,2023-04-01,@,HOU,L 4-6,41,37,4,10,8,0,0,2,4,2,0,4,12,.270,.341,.432,.774,16,0,0,0,0,0
54,PIT,2023-04-01,@,CIN,L 2-6,36,34,2,7,6,1,0,0,2,0,0,2,12,.206,.250,.235,.485,8,0,0,0,0,0
55,DET,2023-04-01,@,TBR,L 2-12,36,34,2,6,4,2,0,0,2,0,0,2,10,.176,.222,.235,.458,8,1,0,0,0,0
56,BOS,2023-04-01,,BAL,W 9-8,41,37,9,11,3,3,1,4,8,0,0,2,8,.297,.366,.757,1.123,28,0,2,0,0,0
57,NYM,2023-04-01,@,MIA,W 6-2,45,38,6,12,6,5,0,1,6,1,0,6,5,.316,.400,.526,.926,20,0,0,0,1,0
58,LAD,2023-04-01,,ARI,W 10-1,37,30,10,8,2,2,0,4,10,0,1,5,7,.267,.378,.733,1.112,22,0,1,0,1,0
59,KCR,2023-04-01,,MIN,L 0-2,35,30,0,4,3,1,0,0,0,0,0,5,5,.133,.257,.167,.424,5,2,0,0,0,0
60,PHI,2023-04-01,@,TEX,L 3-16,37,34,3,9,4,4,1,0,3,1,0,3,7,.265,.324,.441,.766,15,1,0,0,0,0
61,CLE,2023-04-01,@,SEA,W 2-0,35,32,2,5,3,0,0,2,2,1,0,3,9,.156,.229,.344,.572,11,0,0,0,0,0
62,ARI,2023-04-01,@,LAD,L 1-10,32,32,1,5,2,2,0,1,1,0,0,0,10,.156,.156,.313,.469,10,1,0,0,0,0
63,SFG,2023-04-01,@,NYY,W 7-5,44,39,7,12,7,3,0,2,7,2,0,3,13,.308,.386,.538,.925,21,0,2,0,0,0
64,BAL,2023-04-01,@,BOS,L 8-9,43,38,8,13,7,3,0,3,8,5,0,4,11,.342,.419,.658,1.076,25,1,1,0,0,0
65,WSN,2023-04-01,,ATL,L 1-7,33,30,1,5,3,1,0,1,1,0,0,3,11,.167,.242,.300,.542,9,2,0,0,0,0
66,TBR,2023-04-01,,DET,W 12-2,45,36,12,13,5,7,0,1,12,0,0,7,15,.361,.489,.639,1.128,23,1,2,0,0,0
67,NYY,2023-04-01,,SFG,L 5-7,40,37,5,10,6,2,0,2,4,1,0,3,9,.270,.325,.486,.811,18,1,0,0,0,0
68,CHC,2023-04-01,,MIL,L 1-3,32,31,1,5,3,1,0,1,1,0,0,1,10,.161,.188,.290,.478,9,1,0,0,0,0
69,MIN,2023-04-01,@,KCR,W 2-0,34,31,2,5,4,1,0,0,2,0,0,2,8,.161,.206,.194,.399,6,0,0,0,1,0
70,STL,2023-04-01,,TOR,W 4-1,35,33,4,10,10,0,0,0,3,1,0,2,8,.303,.343,.303,.646,10,1,0,0,0,0
71,LAA,2023-04-02,@,OAK,W 6-0,40,37,6,11,7,1,0,3,6,0,0,2,6,.297,.350,.568,.918,21,1,1,0,0,0
72,SEA,2023-04-02,,CLE,L 5-6 (10),41,39,5,9,5,3,0,1,4,1,1,2,11,.231,.268,.385,.653,15,0,0,0,0,0
73,STL,2023-04-02,,TOR,W 9-4,40,36,9,16,8,4,0,4,9,1,0,2,3,.444,.475,.889,1.364,32,3,1,0,1,0
74,MIN,2023-04-02,@,KCR,W 7-4,44,38,7,13,9,2,0,2,7,0,0,5,9,.342,.432,.553,.984,21,2,1,0,0,0
75,SDP,2023-04-02,,COL,W 3-1,29,27,3,4,2,0,0,2,3,1,1,2,5,.148,.207,.370,.577,10,0,0,0,0,0
